response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Pseudobutyrivibrio	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.02	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Robinsoniella	0.00	0.00	0.02	0.04	0.06	0.02	0.04	0.02	0.04	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Roseburia	 3.52	 9.16	 2.58	 3.48	 1.58	 9.18	 7.04	 4.52	 2.82	29.70	 0.56	 2.14
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Syntrophococcus	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_unassigned	 1.08	 4.16	 3.50	 7.08	 4.02	11.70	 4.36	 1.76	 2.96	 0.54	 1.46	 1.44
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptococcaceae_1__g_Dehalobacter	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptococcaceae_1__g_Desulfonispora	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptococcaceae_1__g_Desulfosporosinus	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptococcaceae_1__g_Thermincola	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptococcaceae_1__g_unassigned	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptostreptococcaceae__g_Clostridium_XI	11.70	 0.00	 0.00	 0.16	 0.52	 9.70	 0.54	 0.58	 0.70	 0.00	 1.70	 1.96
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptostreptococcaceae__g_Peptostreptococcus	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptostreptococcaceae__g_Tepidibacter	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Peptostreptococcaceae__g_unassigned	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Acetanaerobacterium	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.02
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Acetivibrio	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Anaerofilum	0.16	0.74	0.22	0.00	0.46	0.10	0.00	0.84	0.18	0.02	1.08	0.10
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Anaerotruncus	0.08	0.48	0.28	0.18	0.28	0.34	0.18	0.06	0.00	0.10	0.10	0.44
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Butyricicoccus	0.00	0.54	0.06	1.60	0.04	0.08	0.36	0.04	0.08	0.10	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Clostridium_III	0.24	1.04	0.00	0.12	0.24	0.02	0.52	0.04	0.00	0.00	0.10	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Clostridium_IV	0.10	0.02	0.10	2.74	0.12	0.04	0.00	0.04	0.02	0.06	0.14	0.02
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Ethanoligenens	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Faecalibacterium	26.84	 4.04	15.50	 5.50	 1.18	 0.54	27.70	11.04	 5.06	 0.46	 4.54	57.24
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Flavonifractor	0.98	0.66	0.16	0.34	0.62	0.42	0.18	1.18	0.02	1.64	0.56	0.44
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Hydrogenoanaerobacterium	0.00	0.06	0.00	0.54	0.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Incertae_sedis	0.08	0.06	0.02	0.04	0.16	0.00	0.02	0.02	0.04	0.08	0.00	0.10
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Oscillibacter	0.88	4.34	0.38	2.32	3.48	0.02	1.60	0.18	0.20	0.86	0.32	0.32
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Papillibacter	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Pseudoflavonifractor	0.06	0.04	0.04	0.16	0.50	0.00	0.08	0.02	0.02	1.24	0.04	0.02
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Ruminococcus	 3.08	 5.40	 8.32	 1.80	 5.32	 9.20	10.04	 0.20	 0.02	 0.00	 0.12	 1.58
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Saccharofermentans	0.04	0.00	0.00	0.00	0.02	0.00	0.14	0.00	0.00	0.00	0.00	0.06
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Sporobacter	0.00	0.00	0.00	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_Subdoligranulum	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.02	0.46	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Ruminococcaceae__g_unassigned	0.52	7.52	1.54	7.74	5.10	0.46	4.38	1.14	1.18	0.16	0.80	0.30
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Syntrophomonadaceae__g_Syntrophomonas	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_unassigned__g_unassigned	 0.66	 5.52	20.92	 4.14	 5.06	 1.80	 4.00	 4.68	 0.62	 6.06	 1.68	13.06
k_Bacteria__p_Firmicutes__c_Clostridia__o_Halanaerobiales__f_Halobacteroidaceae__g_Halanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0
